transaction_id,transaction_date,settlement_date,gross_amount,fee_amount,net_amount,currency,status,type
TXN-20241201-00001,2024-12-01T08:15:00Z,2024-12-02,2499.00,72.77,2426.23,USD,settled,sale
TXN-20241201-00003,2024-12-01T09:10:00Z,2024-12-02,150.00,9.80,140.20,USD,settled,sale
TXN-20241201-00005,2024-12-01T10:05:00Z,2024-12-02,142.50,4.43,138.07,USD,settled,sale
TXN-20241201-00011,2024-12-01T13:20:00Z,2024-12-02,99.00,3.97,95.03,AED,settled,sale
TXN-20241201-00014,2024-12-01T15:15:00Z,2024-12-02,320.00,10.38,309.62,AED,settled,sale
TXN-20241202-00001,2024-12-02T09:05:00Z,2024-12-03,3200.00,93.10,3106.90,USD,settled,sale
TXN-20241202-00007,2024-12-02T12:00:00Z,2024-12-03,1450.00,42.33,1407.67,EUR,settled,sale
TXN-20241202-00010,2024-12-02T13:15:00Z,2024-12-03,4200.00,122.10,4077.90,USD,settled,sale
TXN-20241202-00014,2024-12-02T15:00:00Z,2024-12-03,990.00,29.81,960.19,AED,settled,sale
TXN-20241203-00001,2024-12-03T08:30:00Z,2024-12-04,1750.00,51.05,1698.95,USD,settled,sale
TXN-20241203-00004,2024-12-03T09:50:00Z,2024-12-04,2800.00,81.48,2718.52,EUR,settled,sale
TXN-20241203-00008,2024-12-03T11:30:00Z,2024-12-04,3600.00,104.70,3495.30,USD,settled,sale
TXN-20241203-00011,2024-12-03T12:45:00Z,2024-12-04,1250.00,36.55,1213.45,USD,settled,sale
TXN-20241203-00014,2024-12-03T14:00:00Z,2024-12-04,145.00,4.48,140.52,EUR,settled,sale
TXN-20241204-00001,2024-12-04T08:10:00Z,2024-12-05,920.00,26.98,893.02,USD,settled,sale
TXN-20241204-00005,2024-12-04T09:50:00Z,2024-12-05,2300.00,67.80,2232.20,AED,settled,sale
TXN-20241204-00006,2024-12-04T10:15:00Z,2024-12-05,305.00,9.12,295.88,EUR,settled,sale
TXN-20241204-00009,2024-12-04T11:30:00Z,2024-12-05,115.00,3.61,111.39,EUR,settled,sale
TXN-20241204-00012,2024-12-04T12:45:00Z,2024-12-05,1380.00,40.32,1339.68,USD,settled,sale
TXN-20241204-00015,2024-12-04T14:00:00Z,2024-12-05,-75.00,-1.88,-73.12,USD,settled,refund
TXN-20241205-00001,2024-12-05T09:00:00Z,2024-12-06,1120.00,32.78,1087.22,USD,settled,sale
TXN-20241205-00004,2024-12-05T10:30:00Z,2024-12-06,3100.00,90.20,3009.80,USD,settled,sale
TXN-20241205-00007,2024-12-05T12:00:00Z,2024-12-06,1780.00,52.72,1727.28,AED,settled,sale
TXN-20241205-00010,2024-12-05T13:30:00Z,2024-12-06,430.00,13.57,416.43,AED,settled,sale
TXN-20241205-00013,2024-12-05T15:00:00Z,2024-12-06,-185.00,-5.09,-179.91,EUR,settled,refund
TXN-20241206-00001,2024-12-06T09:15:00Z,2024-12-07,1450.00,42.35,1407.65,USD,settled,sale
TXN-20241206-00004,2024-12-06T10:45:00Z,2024-12-07,2750.00,80.05,2669.95,USD,settled,sale
TXN-20241206-00007,2024-12-06T12:15:00Z,2024-12-07,4100.00,119.20,3980.80,USD,settled,sale
TXN-20241206-00010,2024-12-06T13:45:00Z,2024-12-07,1600.00,47.50,1552.50,AED,settled,sale
TXN-20241206-00013,2024-12-06T15:15:00Z,2024-12-07,-130.00,-3.49,-126.51,EUR,settled,refund
TXN-20241207-00004,2024-12-07T09:30:00Z,2024-12-08,2200.00,64.10,2135.90,USD,settled,sale
TXN-20241207-00007,2024-12-07T11:00:00Z,2024-12-08,3700.00,107.60,3592.40,USD,settled,sale
TXN-20241207-00010,2024-12-07T12:30:00Z,2024-12-08,385.00,12.27,372.73,AED,settled,sale
TXN-20241207-00013,2024-12-07T14:00:00Z,2024-12-08,-275.00,-7.70,-267.30,EUR,settled,refund
GHOST-PSPA-001,2024-12-03T11:00:00Z,2024-12-04,750.00,22.05,727.95,USD,settled,sale
