PSPC_REPORT|VERSION:1.0|MERCHANT:LUXECART|DATE:20260519
PERIOD|2024-12-01|2024-12-07
# Fields: TXN|ref|date_yyyymmdd|time_hhmmss|amount|currency|fee|net|type|status
TXN|PSPC-241201-0001|20241201|093300|1200.00|AED|38.12|1161.88|sale|SETTLED
TXN|PSPC-241201-0002|20241201|110000|89.99|USD|3.04|86.95|sale|SETTLED
TXN|PSPC-241201-0003|20241201|125500|4500.00|USD|139.75|4360.25|sale|SETTLED
TXN|PSPC-241201-0004|20241201|144000|65.00|USD|2.27|62.73|sale|SETTLED
TXN|PSPC-241201-0005|20241201|155000|-89.99|USD|-2.54|-87.45|refund|SETTLED
TXN|PSPC-241202-0006|20241202|100000|125.00|EUR|4.11|120.89|sale|SETTLED
TXN|PSPC-241202-0007|20241202|113500|55.00|USD|1.96|53.05|sale|SETTLED
TXN|PSPC-241202-0008|20241202|125000|830.00|AED|26.65|803.35|sale|SETTLED
TXN|PSPC-241202-0009|20241202|143000|88.00|USD|2.98|85.02|sale|SETTLED
TXN|PSPC-241202-0010|20241202|152500|-125.00|EUR|-3.64|-121.36|refund|SETTLED
TXN|PSPC-241203-0011|20241203|092500|44.99|USD|1.64|43.35|sale|SETTLED
TXN|PSPC-241203-0012|20241203|104000|1100.00|USD|34.35|1065.65|sale|SETTLED
TXN|PSPC-241203-0013|20241203|122000|890.00|AED|28.51|861.49|sale|SETTLED
TXN|PSPC-241203-0014|20241203|131000|2450.00|USD|76.20|2373.80|sale|SETTLED
TXN|PSPC-241203-0015|20241203|142500|-44.99|USD|-1.14|-43.85|refund|SETTLED
TXN|PSPC-241204-0016|20241204|092500|75.00|USD|2.58|72.42|sale|SETTLED
TXN|PSPC-241204-0017|20241204|110500|1900.00|AED|59.82|1840.18|sale|SETTLED
TXN|PSPC-241204-0018|20241204|122000|220.00|AED|7.74|212.26|sale|SETTLED
TXN|PSPC-241204-0019|20241204|133500|670.00|AED|21.69|648.31|sale|SETTLED
TXN|PSPC-241205-0020|20241205|100000|185.00|EUR|5.97|179.03|sale|SETTLED
TXN|PSPC-241205-0021|20241205|130000|3800.00|USD|118.05|3681.95|sale|SETTLED
TXN|PSPC-241205-0022|20241205|143000|195.00|EUR|6.28|188.72|sale|SETTLED
TXN|PSPC-241206-0023|20241206|114500|130.00|EUR|4.26|125.74|sale|SETTLED
TXN|PSPC-241206-0024|20241206|131500|55.00|USD|1.96|53.05|sale|SETTLED
TXN|PSPC-241206-0025|20241206|144500|3250.00|USD|101.00|3149.00|sale|SETTLED
TXN|PSPC-241207-0026|20241207|090000|275.00|EUR|8.76|266.24|sale|SETTLED
TXN|PSPC-241207-0027|20241207|103000|165.00|EUR|5.35|159.65|sale|SETTLED
TXN|PSPC-241207-0028|20241207|120000|1490.00|USD|46.44|1443.56|sale|SETTLED
TXN|PSPC-241207-0029|20241207|133000|210.00|EUR|6.74|203.26|sale|SETTLED
TXN|PSPC-GHOST-001|20241205|090000|1899.99|USD|59.13|1840.86|sale|SETTLED
SUMMARY|30
END_REPORT
